booking_id,booking_date,arrival_date,lead_time,stays_weekend,stays_weekday,adults,children,babies,meal_plan,country,market_segment,room_type,deposit_type,agent_id,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,special_requests,avg_daily_rate,parking_spaces,cancellation_fee_charged,is_canceled
8610,2023-05-14,2023-06-24,41,4,1,2,2.0,0,Bed & Breakfast,POL,Corporate,Standard,No Deposit,28,1,1.0,4,1,60.37,0,0,0
8405,2023-02-21,2023-04-13,51,0,2,4,0.0,0,Bed & Breakfast,FRA,Groups,Suite,No Deposit,12,0,3.0,3,3,81.49,0,0,0
8953,2023-11-18,2023-12-25,37,4,1,4,0.0,0,Bed & Breakfast,BRA,Online,Suite,No Deposit,15,0,1.0,0,1,127.29,0,1,1
9807,2023-03-10,2023-04-22,43,0,2,2,0.0,0,Bed & Breakfast,FRA,Corporate,Standard,Refundable,28,0,1.0,0,3,61.48,1,1,0
11161,2023-11-23,2023-11-26,3,1,7,2,0.0,0,Self Catering,POL,Offline,Standard,No Deposit,6,1,0.0,3,1,74.73,1,0,0
11635,2023-06-22,2023-08-05,44,2,4,1,0.0,0,Self Catering,PRT,Online,Standard,No Deposit,33,0,0.0,1,0,33.82,1,1,1
3929,2022-07-22,2022-09-30,70,0,4,3,0.0,0,Bed & Breakfast,POL,Online,Standard,No Deposit,30,0,0.0,1,3,84.61,0,0,0
11053,2022-02-12,2022-04-29,76,0,6,2,1.0,0,Bed & Breakfast,BEL,Offline,Deluxe,No Deposit,37,0,0.0,1,2,26.04,0,0,0
9472,2023-02-03,2023-03-02,27,3,3,2,0.0,0,Self Catering,ESP,Online,Standard,No Deposit,24,0,1.0,0,1,68.19,1,0,0
794,2023-10-18,2024-03-07,141,1,4,3,0.0,0,Bed & Breakfast,CHN,Online,Deluxe,No Deposit,28,0,0.0,1,1,62.17,0,1,1
4578,2023-10-08,2023-12-16,69,2,1,2,0.0,0,Bed & Breakfast,THA,Online,Deluxe,No Deposit,47,0,1.0,3,0,41.98,0,1,1
11414,2022-10-26,2023-02-20,117,3,2,2,0.0,0,Half Board,NZL,Online,Standard,No Deposit,30,0,,0,2,56.22,0,1,1
6371,2022-06-28,2022-07-02,4,4,3,1,0.0,1,Bed & Breakfast,ESP,Corporate,Deluxe,No Deposit,10,0,1.0,1,3,36.64,0,1,1
4761,2023-09-28,2024-03-04,158,0,1,2,0.0,1,Self Catering,FRA,Offline,Standard,No Deposit,44,1,1.0,0,0,54.6,0,1,1
10422,2022-02-27,2022-05-16,78,0,1,1,0.0,0,Bed & Breakfast,ZAF,Online,Deluxe,No Deposit,17,0,0.0,3,1,52.54,1,0,0
9237,2022-10-01,2022-11-26,56,1,3,2,0.0,0,Bed & Breakfast,FIN,Online,Standard,Non Refund,1,0,,1,2,72.17,0,1,1
6851,2022-05-07,2022-07-30,84,1,5,2,1.0,0,Half Board,ITA,Offline,Deluxe,No Deposit,33,0,,3,3,47.76,0,1,1
9300,2022-09-03,2022-10-11,38,2,2,3,1.0,0,Bed & Breakfast,TUR,Online,Standard,No Deposit,20,0,1.0,1,0,34.22,1,1,1
3918,2023-11-10,2023-12-11,31,0,2,2,0.0,0,Bed & Breakfast,POL,Offline,Deluxe,Non Refund,30,0,0.0,1,1,40.44,2,0,0
5646,2023-12-20,2024-03-20,91,0,6,3,0.0,0,Self Catering,THA,Online,Deluxe,No Deposit,28,1,0.0,1,3,178.05,1,0,0
2759,2022-04-16,2022-04-23,7,2,3,2,0.0,0,Bed & Breakfast,CHN,Offline,Standard,Refundable,41,0,0.0,2,2,29.51,0,0,0
8477,2023-03-01,2023-03-31,30,0,2,2,0.0,0,Bed & Breakfast,SAU,Groups,Standard,Non Refund,4,0,,2,1,75.03,1,0,0
10329,2023-09-02,2024-01-16,136,2,5,1,1.0,0,Bed & Breakfast,NLD,Online,Deluxe,No Deposit,6,0,2.0,0,1,26.63,2,0,1
8333,2023-12-02,2024-02-16,76,2,2,3,1.0,1,Bed & Breakfast,USA,Online,Standard,No Deposit,19,0,3.0,2,1,40.1,1,0,0
3262,2023-04-28,2023-09-12,137,0,5,2,0.0,0,Half Board,BEL,Corporate,Deluxe,Non Refund,48,0,0.0,2,1,73.45,2,0,0
5816,2022-05-31,2022-06-19,19,1,3,2,2.0,0,Bed & Breakfast,USA,Online,Standard,No Deposit,1,0,0.0,4,4,79.13,1,1,1
